state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,negative,pending,hospitalized,death,total,lastUpdateEt,checkTimeEt,dateModified,dateChecked
AK,42,1,1,1,1,A,4,1691,,1,1,1733,3/24 21:00,3/24 22:29,2020-03-25T01:00:00Z,2020-03-25T02:29:00Z
AL,242,1,1,0,0,C,2,2106,,,0,2348,3/24 17:00,3/24 22:10,2020-03-24T21:00:00Z,2020-03-25T02:10:00Z
AR,232,1,1,1,1,A,4,998,0,22,2,1230,3/24 00:00,3/24 21:11,2020-03-24T04:00:00Z,2020-03-25T01:11:00Z
AZ,367,1,1,1,0,B,3,313,22,8,5,702,3/24 00:00,3/24 22:13,2020-03-24T04:00:00Z,2020-03-25T02:13:00Z
CA,2102,1,1,1,0,B,3,13452,12100,,40,27654,3/24 00:00,3/24 21:24,2020-03-24T04:00:00Z,2020-03-25T01:24:00Z
CO,912,1,1,1,1,A,4,6789,,84,11,7701,3/24 18:00,3/24 22:36,2020-03-24T22:00:00Z,2020-03-25T02:36:00Z
CT,618,1,1,1,1,A,4,4682,,71,12,5300,3/24 16:00,3/24 21:27,2020-03-24T20:00:00Z,2020-03-25T01:27:00Z
DC,183,1,1,1,1,A,4,1423,3,,2,1609,3/24 19:30,3/24 22:14,2020-03-24T23:30:00Z,2020-03-25T02:14:00Z
DE,104,1,1,0,0,C,2,36,,0,0,140,3/24 16:45,3/24 22:15,2020-03-24T20:45:00Z,2020-03-25T02:15:00Z
FL,1467,1,1,1,1,A,4,13358,1221,278,20,16046,3/24 18:00,3/24 22:25,2020-03-24T22:00:00Z,2020-03-25T02:25:00Z
GA,1097,1,1,1,1,A,4,4458,,361,38,5555,3/24 18:38,3/24 22:28,2020-03-24T22:38:00Z,2020-03-25T02:28:00Z
HI,77,1,1,1,1,A,4,3589,,4,1,3666,3/23 18:00,3/24 21:33,2020-03-23T22:00:00Z,2020-03-25T01:33:00Z
IA,124,1,1,0,0,C,2,2315,,27,,2439,3/24 00:00,3/24 21:55,2020-03-24T04:00:00Z,2020-03-25T01:55:00Z
ID,73,1,1,1,1,A,4,1887,,,0,1960,3/24 19:00,3/24 22:31,2020-03-24T23:00:00Z,2020-03-25T02:31:00Z
IL,1551,1,1,1,1,A,4,9934,,,16,11485,3/24 00:00,3/24 22:40,2020-03-24T04:00:00Z,2020-03-25T02:40:00Z
IN,365,1,1,1,0,B,3,2566,,1,12,2931,3/24 11:00,3/24 22:32,2020-03-24T15:00:00Z,2020-03-25T02:32:00Z
KS,98,1,1,1,0,B,3,2086,,,2,2184,3/24 12:00,3/24 21:58,2020-03-24T16:00:00Z,2020-03-25T01:58:00Z
KY,157,1,1,1,1,A,4,2865,,,4,3022,3/24 17:00,3/24 21:36,2020-03-24T21:00:00Z,2020-03-25T01:36:00Z
LA,1388,1,1,1,1,A,4,7215,,271,46,8603,3/24 13:00,3/24 21:50,2020-03-24T17:00:00Z,2020-03-25T01:50:00Z
MA,1159,1,1,0,1,B,3,12590,,94,11,13749,3/24 12:30,3/24 22:37,2020-03-24T16:30:00Z,2020-03-25T02:37:00Z
MD,349,1,0,0,0,D,1,94,,,3,443,3/24 10:00,3/24 21:48,2020-03-24T14:00:00Z,2020-03-25T01:48:00Z
ME,125,1,1,1,1,A,4,3014,,,,3139,3/24 12:00,3/24 21:47,2020-03-24T16:00:00Z,2020-03-25T01:47:00Z
MI,1791,1,0,0,0,D,1,2069,,,24,3860,3/24 11:00,3/24 21:46,2020-03-24T15:00:00Z,2020-03-25T01:46:00Z
MN,262,1,1,1,1,A,4,5550,,21,1,5812,3/24 00:00,3/24 22:48,2020-03-24T04:00:00Z,2020-03-25T02:48:00Z
MO,255,1,1,0,0,C,2,369,,,5,624,3/24 16:00,3/24 22:37,2020-03-24T20:00:00Z,2020-03-25T02:37:00Z
MS,320,1,1,1,0,B,3,1552,,86,1,1872,3/23 19:00,3/24 22:46,2020-03-23T23:00:00Z,2020-03-25T02:46:00Z
MT,51,1,1,0,0,C,2,1643,,,,1694,3/24 18:30,3/24 22:24,2020-03-24T22:30:00Z,2020-03-25T02:24:00Z
NC,398,1,1,1,1,A,4,8141,,,0,8539,3/24 09:45,3/24 14:48,2020-03-24T13:45:00Z,2020-03-24T18:48:00Z
ND,36,1,1,1,0,B,3,1566,,7,0,1602,3/24 17:43,3/24 22:23,2020-03-24T21:43:00Z,2020-03-25T02:23:00Z
NE,61,1,1,1,1,A,4,1304,,,0,1365,3/24 00:00,3/24 22:22,2020-03-24T04:00:00Z,2020-03-25T02:22:00Z
NH,108,1,1,1,0,B,3,1618,804,13,1,2530,3/24 09:00,3/24 22:21,2020-03-24T13:00:00Z,2020-03-25T02:21:00Z
NJ,3675,1,1,1,0,B,3,8325,45,,44,12045,3/24 01:30,3/24 16:15,2020-03-24T05:30:00Z,2020-03-24T20:15:00Z
NM,100,1,1,1,1,A,4,6742,,,,6842,3/24 00:00,3/24 22:20,2020-03-24T04:00:00Z,2020-03-25T02:20:00Z
NV,278,1,1,1,1,A,4,3954,0,,4,4232,3/23 14:59,3/24 22:45,2020-03-23T18:59:00Z,2020-03-25T02:45:00Z
NY,25665,1,1,0,1,B,3,65605,,3234,210,91270,3/24 11:30,3/24 21:28,2020-03-24T15:30:00Z,2020-03-25T01:28:00Z
OH,564,1,0,0,0,D,1,140,,145,8,704,3/24 14:00,3/24 14:20,2020-03-24T18:00:00Z,2020-03-24T18:20:00Z
OK,106,1,1,1,1,A,4,735,,25,3,841,3/24 08:00,3/24 14:31,2020-03-24T12:00:00Z,2020-03-24T18:31:00Z
OR,209,1,1,1,1,A,4,4350,,61,8,4559,3/24 11:00,3/24 15:44,2020-03-24T15:00:00Z,2020-03-24T19:44:00Z
PA,851,1,1,1,1,A,4,8643,,,7,9494,3/24 12:00,3/24 14:30,2020-03-24T16:00:00Z,2020-03-24T18:30:00Z
RI,106,1,1,1,0,B,3,1120,77,,,1303,3/23 00:00,3/24 22:43,2020-03-23T04:00:00Z,2020-03-25T02:43:00Z
SC,342,1,1,1,0,B,3,2128,,,7,2470,3/24 19:32,3/24 22:20,2020-03-24T23:32:00Z,2020-03-25T02:20:00Z
SD,30,1,1,1,1,A,4,790,268,,1,1088,3/24 12:30,3/24 15:30,2020-03-24T16:30:00Z,2020-03-24T19:30:00Z
TN,667,1,1,1,1,A,4,10517,,,2,11184,3/24 15:00,3/24 21:19,2020-03-24T19:00:00Z,2020-03-25T01:19:00Z
TX,715,1,1,1,1,A,4,12520,,,11,13235,3/23 21:00,3/24 22:18,2020-03-24T01:00:00Z,2020-03-25T02:18:00Z
UT,299,1,1,1,1,A,4,5524,,,1,5823,3/24 15:00,3/24 15:52,2020-03-24T19:00:00Z,2020-03-24T19:52:00Z
VA,290,1,1,1,1,A,4,4180,,45,7,4470,3/24 00:00,3/24 16:18,2020-03-24T04:00:00Z,2020-03-24T20:18:00Z
VT,95,1,1,1,1,A,4,1440,,,7,1535,3/24 13:00,3/24 15:43,2020-03-24T17:00:00Z,2020-03-24T19:43:00Z
WA,2469,1,1,1,1,A,4,31712,,,123,34181,3/24 21:06,3/24 22:12,2020-03-25T01:06:00Z,2020-03-25T02:12:00Z
WI,457,1,1,1,1,A,4,8237,,,5,8694,3/24 16:00,3/24 15:38,2020-03-24T20:00:00Z,2020-03-24T19:38:00Z
WV,39,1,1,1,0,B,3,759,6,1,0,804,3/24 00:00,3/24 21:13,2020-03-24T04:00:00Z,2020-03-25T01:13:00Z
WY,33,1,1,1,1,A,4,710,,,,743,3/24 22:30,3/24 22:10,2020-03-25T02:30:00Z,2020-03-25T02:10:00Z
PR,39,1,1,1,1,A,4,268,42,,2,349,3/24 07:00,3/24 22:43,2020-03-24T11:00:00Z,2020-03-25T02:43:00Z
AS,0,,,,,,,,,,0,0,3/24 00:00,3/24 22:11,2020-03-24T04:00:00Z,2020-03-25T02:11:00Z
GU,32,,,,,,,201,,5,1,233,3/24 06:45,3/24 21:54,2020-03-24T10:45:00Z,2020-03-25T01:54:00Z
MP,0,,,,,,,,,,0,0,3/24 18:30,3/24 21:41,2020-03-24T22:30:00Z,2020-03-25T01:41:00Z
VI,17,,,,,,,55,2,,0,74,3/24 20:30,3/24 22:14,2020-03-25T00:30:00Z,2020-03-25T02:14:00Z
