state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,negative,pending,hospitalized,death,total,lastUpdateEt,checkTimeEt,totalTestResults,fips,dateModified,dateChecked,notes
AK,69,1,1,1,1,A,4,2319,13,3,1,2401,3/26 21:00,3/27 13:27,2388,02,2020-03-27T01:00:00Z,2020-03-27T17:27:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
AL,587,1,1,0,1,B,3,4184,,,3,4771,3/27 00:00,3/27 13:39,4771,01,2020-03-27T04:00:00Z,2020-03-27T17:39:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
AR,381,1,1,1,1,A,4,1545,0,,3,1926,3/27 14:05,3/27 16:25,1926,05,2020-03-27T18:05:00Z,2020-03-27T20:25:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
AZ,736,1,1,0,1,B,3,7455,30,,13,8221,3/27 00:00,3/27 13:59,8191,04,2020-03-27T04:00:00Z,2020-03-27T17:59:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
CA,3879,1,1,1,0,B,3,17380,57400,,78,78659,3/27 00:00,3/27 17:23,21259,06,2020-03-27T04:00:00Z,2020-03-27T21:23:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
CO,1430,1,1,1,1,A,4,8692,,184,24,10122,3/26 18:00,3/27 14:19,10122,08,2020-03-26T22:00:00Z,2020-03-27T18:19:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
CT,1291,1,1,1,1,A,4,7109,,173,27,8400,3/27 13:30,3/27 16:12,8400,09,2020-03-27T17:30:00Z,2020-03-27T20:12:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
DC,267,1,1,1,1,A,4,1897,2,,3,2166,3/26 19:00,3/27 14:35,2164,11,2020-03-26T23:00:00Z,2020-03-27T18:35:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
DE,163,1,1,0,0,C,2,36,,15,2,199,3/27 00:00,3/27 16:08,199,10,2020-03-27T04:00:00Z,2020-03-27T20:08:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
FL,2765,1,1,1,1,A,4,28186,1517,456,34,32468,3/27 12:00,3/27 14:23,30951,12,2020-03-27T16:00:00Z,2020-03-27T18:23:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
GA,2001,1,1,1,1,A,4,7864,,566,64,9865,3/27 12:00,3/27 15:17,9865,13,2020-03-27T16:00:00Z,2020-03-27T19:17:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
HI,106,1,1,1,1,A,4,4357,3,7,,4466,3/26 18:00,3/27 15:06,4463,15,2020-03-26T22:00:00Z,2020-03-27T19:06:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
