state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,negative,pending,hospitalized,death,total,lastUpdateEt,checkTimeEt,totalTestResults,fips,dateModified,dateChecked,notes,hash
AK,114,1,1,1,1,A,4,3540,,7,3,3654,3/29 19:00,3/30 01:38,3654,02,2020-03-29T23:00:00Z,2020-03-30T05:38:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",8555b5a1b628851908f4ec35d572da544f1ff8c8
AL,830,1,1,0,1,B,3,4184,,,4,5014,3/29 00:00,3/30 00:28,5014,01,2020-03-29T04:00:00Z,2020-03-30T04:28:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",72a2d8e529e68de13d350492ba5b8e3738d66a89
AR,426,1,1,1,1,A,4,3027,,48,6,3453,3/29 11:10,3/29 16:01,3453,05,2020-03-29T15:10:00Z,2020-03-29T20:01:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",b7ad5259aab686bd98bfeb29d2fe3df128739d0b
AZ,919,1,1,0,1,B,3,12953,,78,17,13872,3/29 00:00,3/30 00:44,13872,04,2020-03-29T04:00:00Z,2020-03-30T04:44:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",71fa708d78c9167724552db3ec1489c3354c0795
CA,5708,1,1,1,0,B,3,20549,64400,1034,123,90657,3/29 14:18,3/29 17:23,26257,06,2020-03-29T18:18:00Z,2020-03-29T21:23:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",f36be7055ac7e87ee521a8eaf0403b8b45f1b345
CO,2307,1,1,1,1,A,4,12163,,326,47,14470,3/29 01:59,3/30 00:29,14470,08,2020-03-29T05:59:00Z,2020-03-30T04:29:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",d345c71551ddcdc46cba16ffcf39481e82da6c72
CT,1993,1,1,1,1,A,4,9907,,404,34,11900,3/29 12:30,3/29 17:33,11900,09,2020-03-29T16:30:00Z,2020-03-29T21:33:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2f42e4be866f13722bbdc32cf8abd82f32e6e5c6
DC,342,1,1,1,1,A,4,2469,1,,5,2812,3/28 19:45,3/29 16:10,2811,11,2020-03-28T23:45:00Z,2020-03-29T20:10:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",c9b2055cedb5497ef8937f33facbea445b25e964
DE,232,1,1,0,0,C,2,36,,33,6,268,3/29 00:00,3/30 00:19,268,10,2020-03-29T04:00:00Z,2020-03-30T04:19:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",d3ec7e3a38a93ecd1133e3ef2c6956085096e760
FL,4950,1,1,1,1,A,4,44048,,633,59,48998,3/29 18:30,3/30 00:17,48998,12,2020-03-29T22:30:00Z,2020-03-30T04:17:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",d861da0c8f3c8e07b986abee74920a538a57fb33
GA,2683,1,1,1,1,A,4,9913,,666,80,12596,3/29 18:28,3/30 00:23,12596,13,2020-03-29T22:28:00Z,2020-03-30T04:23:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",3d7f12c27245af7ede3d04a35345065d2d72c351
HI,175,1,1,1,1,A,4,7825,13,12,0,8013,3/29 18:00,3/30 00:17,8000,15,2020-03-29T22:00:00Z,2020-03-30T04:17:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",d3311ea818e7c6cffd2d88adac8cbc2d75679d2d
IA,336,1,1,0,0,C,2,5013,,68,4,5349,3/29 00:00,3/29 15:46,5349,19,2020-03-29T04:00:00Z,2020-03-29T19:46:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",a71f4783fc428205612ff7099108b02ab62b6448
