state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,negative,pending,hospitalized,death,total,lastUpdateEt,checkTimeEt,dateModified,dateChecked
AK,14,1,1,1,1,A,4,758,,0,,772,3/21 16:30,3/22 02:48,2020-03-21T20:30:00Z,2020-03-22T06:48:00Z
AL,131,1,1,0,0,C,2,1127,,,0,1258,3/21 12:55,3/22 01:30,2020-03-21T16:55:00Z,2020-03-22T05:30:00Z
AR,118,1,1,1,1,A,4,567,,13,,685,3/21 13:47,3/22 02:38,2020-03-21T17:47:00Z,2020-03-22T06:38:00Z
AZ,104,1,1,1,0,B,3,240,,,1,344,3/21 00:00,3/22 01:42,2020-03-21T04:00:00Z,2020-03-22T05:42:00Z
CA,1497,1,1,1,0,B,3,11250,,,27,12747,3/21 14:30,3/22 02:25,2020-03-21T18:30:00Z,2020-03-22T06:25:00Z
CO,475,1,1,1,1,A,4,4075,,49,5,4550,3/21 18:00,3/22 01:43,2020-03-21T22:00:00Z,2020-03-22T05:43:00Z
CT,223,1,1,1,1,A,4,2877,,43,5,3100,3/21 19:30,3/22 01:45,2020-03-21T23:30:00Z,2020-03-22T05:45:00Z
DC,98,1,1,1,1,A,4,957,,,1,1055,3/21 07:30,3/22 02:49,2020-03-21T11:30:00Z,2020-03-22T06:49:00Z
DE,45,1,1,0,0,C,2,36,,,0,81,3/21 15:15,3/22 02:50,2020-03-21T19:15:00Z,2020-03-22T06:50:00Z
FL,763,1,1,1,1,A,4,7570,,158,12,8333,3/21 18:00,3/22 01:49,2020-03-21T22:00:00Z,2020-03-22T05:49:00Z
GA,555,1,1,1,1,A,4,3616,,,14,4171,3/21 19:00,3/22 01:55,2020-03-21T23:00:00Z,2020-03-22T05:55:00Z
HI,37,1,1,1,1,A,4,124,,,,161,3/20 18:00,3/22 01:58,2020-03-20T22:00:00Z,2020-03-22T05:58:00Z
IA,68,1,1,0,0,C,2,1049,,,,1117,3/21 14:20,3/22 02:36,2020-03-21T18:20:00Z,2020-03-22T06:36:00Z
ID,42,1,1,1,1,A,4,1175,,,,1217,3/20 19:00,3/22 02:33,2020-03-20T23:00:00Z,2020-03-22T06:33:00Z
IL,759,1,1,1,1,A,4,5488,,,6,6247,3/21 00:00,3/22 02:33,2020-03-21T04:00:00Z,2020-03-22T06:33:00Z
IN,126,1,1,1,0,B,3,707,,1,4,833,3/21 00:59,3/22 02:32,2020-03-21T04:59:00Z,2020-03-22T06:32:00Z
KS,55,1,1,1,0,B,3,417,,,2,472,3/21 11:00,3/22 02:34,2020-03-21T15:00:00Z,2020-03-22T06:34:00Z
KY,54,1,1,1,1,A,4,714,,,2,768,3/21 09:00,3/22 02:35,2020-03-21T13:00:00Z,2020-03-22T06:35:00Z
LA,763,1,1,1,0,B,3,2539,,,20,3302,3/21 18:30,3/22 02:34,2020-03-21T22:30:00Z,2020-03-22T06:34:00Z
MA,525,1,1,0,1,B,3,4752,,61,1,5277,3/21 16:00,3/22 02:37,2020-03-21T20:00:00Z,2020-03-22T06:37:00Z
MD,190,1,0,0,0,D,1,94,,,2,284,3/21 10:00,3/22 02:38,2020-03-21T14:00:00Z,2020-03-22T06:38:00Z
ME,73,1,1,1,1,A,4,2264,,,,2337,3/21 13:30,3/22 01:57,2020-03-21T17:30:00Z,2020-03-22T05:57:00Z
MI,787,1,0,0,0,D,1,2069,,,5,2856,3/21 15:00,3/22 02:14,2020-03-21T19:00:00Z,2020-03-22T06:14:00Z
MN,138,1,1,1,1,A,4,3952,,,1,4090,3/21 00:00,3/22 02:10,2020-03-21T04:00:00Z,2020-03-22T06:10:00Z
MO,90,1,1,0,0,C,2,369,,,3,459,3/21 22:00,3/22 02:17,2020-03-22T02:00:00Z,2020-03-22T06:17:00Z
MS,140,1,1,1,0,B,3,695,,33,1,835,3/20 19:00,3/22 01:43,2020-03-20T23:00:00Z,2020-03-22T05:43:00Z
MT,27,1,1,1,0,B,3,1146,,,,1173,3/20 21:24,3/22 02:28,2020-03-21T01:24:00Z,2020-03-22T06:28:00Z
NC,184,1,1,1,1,A,4,5092,,,0,5276,3/21 10:30,3/22 02:30,2020-03-21T14:30:00Z,2020-03-22T06:30:00Z
ND,28,1,1,1,0,B,3,1154,,3,0,1182,3/21 17:53,3/22 02:39,2020-03-21T21:53:00Z,2020-03-22T06:39:00Z
NE,48,1,1,1,1,A,4,356,,,0,404,3/20 00:00,3/22 02:41,2020-03-20T04:00:00Z,2020-03-22T06:41:00Z
NH,65,1,1,1,0,B,3,1088,,,,1153,3/20 09:00,3/22 02:04,2020-03-20T13:00:00Z,2020-03-22T06:04:00Z
NJ,1327,1,1,1,0,B,3,294,,,16,1621,3/21 13:00,3/22 01:52,2020-03-21T17:00:00Z,2020-03-22T05:52:00Z
NM,57,1,1,1,1,A,4,4722,,,,4779,3/21 00:00,3/22 01:52,2020-03-21T04:00:00Z,2020-03-22T05:52:00Z
NV,154,1,1,1,1,A,4,2448,,,2,2602,3/21 14:00,3/22 01:52,2020-03-21T18:00:00Z,2020-03-22T05:52:00Z
NY,10356,1,1,0,1,B,3,35081,,1603,44,45437,3/21 16:14,3/22 02:40,2020-03-21T20:14:00Z,2020-03-22T06:40:00Z
OH,247,1,0,0,0,D,1,140,,58,3,387,3/21 14:00,3/22 01:47,2020-03-21T18:00:00Z,2020-03-22T05:47:00Z
OK,53,1,1,1,1,A,4,560,,10,1,613,3/21 08:00,3/22 01:47,2020-03-21T12:00:00Z,2020-03-22T05:47:00Z
OR,141,1,1,1,1,A,4,2338,,43,4,2479,3/21 11:00,3/22 01:57,2020-03-21T15:00:00Z,2020-03-22T05:57:00Z
PA,371,1,1,1,1,A,4,3766,,,2,4137,3/21 12:00,3/22 01:35,2020-03-21T16:00:00Z,2020-03-22T05:35:00Z
RI,66,1,1,1,0,B,3,862,,,,928,3/21 00:00,3/22 01:33,2020-03-21T04:00:00Z,2020-03-22T05:33:00Z
SC,173,1,1,1,1,A,4,1466,,,3,1639,3/21 16:25,3/22 01:55,2020-03-21T20:25:00Z,2020-03-22T05:55:00Z
SD,14,1,1,1,1,A,4,691,,,1,705,3/21 13:00,3/22 01:23,2020-03-21T17:00:00Z,2020-03-22T05:23:00Z
TN,371,1,1,1,0,B,3,3272,,,,3643,3/20 22:48,3/22 01:23,2020-03-21T02:48:00Z,2020-03-22T05:23:00Z
